"panelista","encuesta","nombreapp","paquete","version","fuente","categoria","malware","sistema","lanzador","fecha 2020-01","dias 2020-01","uso 2020-01","fecha 2020-02","dias 2020-02","uso 2020-02","fecha 2020-03","dias 2020-03","uso 2020-03","fecha 2020-04","dias 2020-04","uso 2020-04","fecha 2020-05","dias 2020-05","uso 2020-05","fecha 2020-06","dias 2020-06","uso 2020-06"
"6793","OCUWBYTS","sonia","com.grandegames.slots.dafu.casino","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","","29","3438253","5/31/2020 21:59","30","3438253","","15","3438253"
"6793","OCUWBYTS","sonia","com.playshoo.texaspoker.romania","","","","","","","0","0","N/D","2020-02-29 22:59","28","774832","","30","774832","0","0","N/D","","0","","0","0","N/D"
"6793","OCUWBYTS","sonia","com.playshoo.texaspoker.romania","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","","29","774832","5/31/2020 21:59","30","774832","","15","774832"
"6793","OCUWBYTS","sonia","air.com.spicerackmedia.bingoshowdown","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","","29","86464","5/31/2020 21:59","30","86464","","15","86464"
"6793","OCUWBYTS","sonia","air.com.spicerackmedia.bingoshowdown","","","","","","","0","0","N/D","2020-02-29 22:59","28","86464","","30","86464","0","0","N/D","","0","","0","0","N/D"
"6793","OCUWBYTS","sonia","com.Bingo.Football","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","","29","1209896","5/31/2020 21:59","30","1209896","","15","1209896"
"6793","OCUWBYTS","sonia","com.Bingo.Football","","","","","","","0","0","N/D","2020-02-29 22:59","28","1209896","","30","1209896","0","0","N/D","","0","","0","0","N/D"
"6793","OCUWBYTS","sonia","com.mola.playspace.android.bingo","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","","29","1022505","5/31/2020 21:59","30","1022505","","15","1022505"
"6793","OCUWBYTS","sonia","com.mola.playspace.android.bingo","","","","","","","0","0","N/D","2020-02-29 22:59","28","1022505","","30","1022505","0","0","N/D","","0","","0","0","N/D"
"6793","OCUWBYTS","sonia","com.sharkparty.monopolybingo","","","","","","","0","0","N/D","2020-02-29 22:59","28","560292","","30","560292","0","0","N/D","","0","","0","0","N/D"
"6793","OCUWBYTS","sonia","com.sharkparty.monopolybingo","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","","29","560292","5/31/2020 21:59","30","560292","","15","560292"
"6832","CQHNFUXR","""Com2uSPoker""","com.com2us.c2sholdem.normal.freefull.samsungapps.global.android.samsung","""1.2.7""","system","Sin categorizar","","1","1","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"6876","TAGAIHDS","sonia","air.com.pipastudios.release.praiabingo","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","","0","","","2","0"
"6916","XSJHHIWS","""Bingo Blitz""","air.com.buffalo_studios.newflashbingo","""4.39.0""","com.android.vending","Board","","","","0","0","N/D","2020-02-24 11:58","23","868671","","12","914126","0","0","N/D","5/13/2020 20:02","12","28383","0","0","N/D"
"7041","ODPLRNOU","""PokerStars ES""","com.pyrsoftware.pokerstars.es","""1.113.0""","com.google.android.packageinstaller","Sin categorizar","","","1","0","0","N/D","2020-02-29 22:59","28","27357753","","30","27357753","","29","27357753","5/31/2020 21:59","30","27357753","","14","27357753"
"7041","ODPLRNOU","""Huuuge Casino""","com.huuuge.casino.slots","""5.4.1900""","com.android.vending","Casino","","","1","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"7041","ODPLRNOU","""Pop! Slots""","com.playstudios.popslots","""2.58.14764""","com.android.vending","Casino","","","1","0","0","N/D","2020-02-29 22:59","28","350624","","30","350624","","29","350624","5/31/2020 21:59","30","350624","","14","350624"
"7041","ODPLRNOU","""House of Fun""","com.pacificinteractive.HouseOfFun","""3.59""","com.android.vending","Casino","","","1","0","0","N/D","2020-02-29 22:59","28","0","","30","0","","29","0","5/31/2020 21:59","30","0","","14","0"
"7041","ODPLRNOU","""Outbuck""","com.outbuck.scratchcards","""1.15""","com.android.vending","Casino","","","","0","0","N/D","2020-02-29 22:59","28","444113","","30","444113","","29","444113","5/31/2020 21:59","30","444113","","14","444113"
"7041","ODPLRNOU","""Loco Bingo Playspace""","com.mola.playspace.android.bingo","""2.55.0""","com.android.vending","Casino","","","1","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"7041","ODPLRNOU","""Lucky Day""","com.luckyday.app","""6.8.3""","com.android.vending","Casino","","","1","0","0","N/D","2020-02-29 22:59","28","9814054","","30","9814054","","29","9814054","5/31/2020 21:59","30","9814054","","14","9814054"
"7041","ODPLRNOU","""Cartones de Bingo""","es.bingo.cartonesbingo","""2.5.0""","com.android.vending","Casual","","","1","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"7225","MLMCGBQJ","sonia","com.Bingo.Fighter","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","","0","","","29","3193984"
"7379","WDBTRWOH","""bet365""","com.ratul.bet365","""1.0""","com.google.android.packageinstaller","Sin categorizar","","","1"," ","29","0","2020-02-26 13:13","25","0","","30","0","0","0","N/D","5/14/2020 10:53","13","0","0","0","N/D"
"7552","YBSOFADT","""Zynga Poker""","com.zynga.livepoker","""21.92""","com.android.vending","Casino","","","1","0","0","N/D","0","0","N/D","","16","0","0","0","N/D","5/15/2020 10:48","14","0","0","0","N/D"
"7616","RYNCRMCE","""Neverland Casino""","com.wgames.en.neverlandcasino","""2.45.1""","com.android.vending","Casino","","","1","0","0","N/D","0","0","N/D","","30","197641","0","0","N/D","5/17/2020 4:39","16","129760","0","0","N/D"
"7616","RYNCRMCE","""Billionaire Casino""","com.huuuge.casino.texas","""5.3.1850""","com.android.vending","Casino","","","1","0","0","N/D","0","0","N/D","","30","0","0","0","N/D","5/17/2020 4:39","16","0","0","0","N/D"
"7616","RYNCRMCE","sonia","com.huuuge.casino.slots","","","","","","","0","0","N/D","0","0","N/D","","30","456409","0","0","N/D","","0","","0","0","N/D"
"7747","LHVSYSJJ","sonia","com.bingo.scape.android.free","","","","","","","0","0","N/D","2020-02-29 18:22","28","0","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"7773","FCMDLGAS","sonia","air.com.bitrhymes.bingo","","","","","","","0","0","N/D","2020-02-26 22:40","25","0","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"7773","FCMDLGAS","sonia","air.com.buffalo_studios.newflashbingo","","","","","","","0","0","N/D","2020-02-26 22:40","25","0","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"7780","RJWVGVOL","""Jackpot Poker""","com.pokerstars.cebo","""6.0.2""","com.android.vending","Casino","","","1","0","0","N/D","2020-02-24 21:53","23","7321750","0","0","N/D","","29","6113543","5/21/2020 15:33","20","2084962","0","0","N/D"
"7802","KKYXXKNS","""bet365""","com.bet365Wrapper.Bet365_Application","""5.0.3.0""","com.google.android.packageinstaller","Sports","","","1","0","0","N/D","0","0","N/D","","9","0","0","0","N/D","","0","","0","0","N/D"
"7998","HFMSGSET","sonia","air.com.pipastudios.release.praiabingo","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","","0","","","29","816938"
"7998","HFMSGSET","sonia","com.huuuge.casino.texas","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","","0","","","29","33581"
"7999","EUNYJCJW","""Bingo Set""","com.littlebandit.bingoset","""1.3.6""","com.android.vending","Board","","","1","0","0","N/D","2020-02-26 06:50","25","0","","30","0","0","0","N/D","","0","","0","0","N/D"
"8037","AEQNHFOI","""Big Time""","com.winrgames.bigtime","""3.4.5""","com.android.vending","Casino","","","1","0","0","N/D","2020-02-27 19:57","26","716975","0","0","N/D","0","0","N/D","5/17/2020 1:19","16","48039","0","0","N/D"
"8125","TMHGCHEY","""Zynga Poker""","com.zynga.livepoker","""21.92""","com.android.vending","Casino","","","1","0","0","N/D","2020-02-24 14:39","23","0","0","0","N/D","0","0","N/D","5/17/2020 7:35","16","0","0","0","N/D"
"8188","BWFDAVGO","""Big Time""","com.winrgames.bigtime","""3.4.5""","com.android.vending","Casino","","","1","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"8253","FUGUEXAI","""bet365""","com.bet365Wrapper.Bet365_Application","""5.0.7.0""","com.google.android.packageinstaller","Sports","","","1","0","0","N/D","0","0","N/D","","10","160857","0","0","N/D","","0","","0","0","N/D"
"8267","QCKIVXMY","""Blackjack""","com.brainium.blackjack","""1.3.1.107""","com.android.vending","Casino","","","1","0","0","N/D","2020-02-26 15:11","25","0","0","0","N/D","0","0","N/D","5/27/2020 8:25","26","0","0","0","N/D"
"8274","WQYQRPPC","""Billionaire Casino""","com.huuuge.casino.texas","""5.4.1900""","com.android.vending","Casino","","","1","0","0","N/D","2020-02-28 17:54","27","0","","4","0","0","0","N/D","5/31/2020 21:59","30","0","","14","0"
"8274","WQYQRPPC","""Spin Day""","com.viker.spinday","""2.12.0""","com.android.vending","Casino","","","1","0","0","N/D","2020-02-28 17:54","27","0","","4","0","","29","0","5/31/2020 21:59","30","0","","14","0"
"8274","WQYQRPPC","""Scratch Day""","com.viker.scratchattack","""3.12.0""","com.android.vending","Casino","","","1","0","0","N/D","2020-02-28 17:54","27","0","","4","0","","29","0","5/31/2020 21:59","30","0","","14","0"
"8274","WQYQRPPC","""Jackpot Party""","com.williamsinteractive.jackpotparty","""5015.00""","com.android.vending","Casino","","","1","0","0","N/D","2020-02-28 17:54","27","0","0","0","N/D","0","0","N/D","5/31/2020 21:59","30","0","","14","0"
"8274","WQYQRPPC","""Lucky Day""","com.luckyday.app","""6.8.3""","com.android.vending","Casino","","","1","0","0","N/D","2020-02-28 17:54","27","0","0","0","N/D","0","0","N/D","5/31/2020 21:59","30","0","","14","0"
"8274","WQYQRPPC","""Bingo en Casa""","es.cabmagazine.bingoencasa","""3.3.1""","com.android.vending","Casual","","","","0","0","N/D","2020-02-28 17:54","27","0","","4","0","","29","0","5/31/2020 21:59","30","0","","14","0"
"8274","WQYQRPPC","sonia","com.huuuge.casino.slots","","","","","","","0","0","N/D","2020-02-28 17:54","27","1771674","","4","215477","0","0","N/D","","0","","0","0","N/D"
"8274","WQYQRPPC","sonia","com.huuuge.casino.slots","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","","29","1170702","5/31/2020 21:59","30","2126694","0","0","N/D"
"8274","WQYQRPPC","sonia","com.wgames.en.neverlandcasino","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","","29","818005","5/31/2020 21:59","30","1306648","0","0","N/D"
